title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
rumah murah lokasi strategis karangasem,250000000,karangasem,20,2,1,1,36,100,karangasem
rumah minimalis murah lokasi strategis karangasem,250000000,"karang asem, karangasem",20,2,1,1,36,100,karangasem
rumah subsidi dekat kota karangasem bali,178000000,"karang asem, karangasem",10,2,1,1,30,60,karangasem
rumah semi finishing padang kerta karangasem,250000000,"padang kerta, karangasem",20,2,1,1,36,100,karangasem
rumah classic murah jogja. ndalem hinggil mewah eksklusif,509000000,"karangasem, indonesia karangasem, karangasem",10,3,2,1,48,72,karangasem
rumah style villa plus pool di karangasem - bali,1950000000,"karang asem, karangasem",20,2,2,1,300,350,karangasem
dijual buc rumah 2 lantai di lingkungan komplek di bali karangasem,400000000,"padangkerta, karangasem",4,3,2,2,160,100,karangasem
dijual cepat rumah murah minimalis daerah karangasem,250000000,"jl serma natih, padang kerta, karangasem padang kerta, karangasem",20,2,1,1,36,100,karangasem
rumah 2 lantai di jual di olx bebas banjir bandung,515000000,"ban, karangasem",4,2,2,2,50,66,karangasem
angsuran 2 jutaan rumah minimalis di padang kerta karangasem bali,250000000,"jl letda serma padang kerta karangasem bali padang kerta, karangasem",20,2,1,1,27,100,karangasem
jual cepat rumah murah di desa padang kerta karangasem bali,250000000,"karang asem, karangasem",20,2,1,1,36,100,karangasem
rumah cantik & murah hanya rp 450 juta taman nuansa tjampuhan bali,450000000,gianyar,20,2,1,1,36,100,gianyar
rumah lantai 2 di batubulan harga termurah jalan mobil,700000000,"batubulan, gianyar",8,4,2,2,120,100,gianyar
"dijual rumah type 60/100 di gianyar, bali",590000000,"permata abian base, jl mulawarman, abian base. gianyar, gianyar",20,3,1,1,60,100,gianyar
buc rumah minimalis murah ubud,950000000,"ubud, gianyar",10,2,2,1,110,140,gianyar
rumah kos termurah di batubulan dekat jalan raya celuk,295000000,"batubulan kangin, gianyar",4,4,1,1,65,83,gianyar
rumah indent di guwang sukawati,780000000,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",10,3,2,1,75,100,gianyar
"v6.100 - rumah modern dengan harga di bawah 1 m, dekat pantai",600000000,"jl. raya ubud no. 1 peliatan sukawati, gianyar",4,2,1,1,42,75,gianyar
"dijual rumah villa siap huni view sawah dekat komune beach club di gianyar, bali",2500000000,"jln prof ida bagus mantra keramas kecamatan blahbatuh kabupaten gianyar, tepatnya di belakang circkle k keramas, gianyar",5,3,3,2,150,145,gianyar
"rumah indent daerah guwang, sukawati",780000000,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",10,3,2,1,75,100,gianyar
rumah indent di guwang sukawati,780000000,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",4,3,2,1,75,100,gianyar
rumah lantai 2 harga murah di dekat pasar seni sukawati bali,875000000,"batubulan kanguin sukawati, gianyar",8,3,2,2,115,125,gianyar
jual rumah di batuyang batubulan luas 2 are,1300000000,"jalan batuyang, gianyar 80582, indonesia batubulan, gianyar",10,4,3,1,180,200,gianyar
rumah lantai 2 minimalis di dewi sri batubulan,950000000,"batubulan, gianyar",8,4,3,2,180,100,gianyar
dijual murah rumah style villa jimbaran,1600000000,"sukawati, gianyar",10,2,2,1,140,160,gianyar
"rumah baru 2023 di daerah guwang, sukawati",765000000,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",10,3,2,1,75,100,gianyar
perumahan japanese tropical style with ricefield view ubud,2000000000,"ubud, gianyar",8,2,2,2,120,110,gianyar
rumah dengan 3 kamar tidur siap huni,665000000,"jalan pasekan, gianyar 80582, indonesia batubulan, gianyar",4,3,2,1,65,100,gianyar
"rumah murah, minimalis modern, siap kpr, di gianyar, bali",455000000,"banjar pacung, gianyar, bali bitera, gianyar",20,2,1,1,45,100,gianyar
rumah baru 2023 di guwang sukawati gianyar,765000000,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",4,3,2,1,75,100,gianyar
rumah minimalis mewah mobil papasan batubulan timur rs premagana batubulan,665000000,"perumahan candra ayu timur rs premagana batubulan batubulan, gianyar",10,3,2,1,70,105,gianyar
rumah indent dan siap huni deket denpasar,750000000,"batubulan, gianyar",10,3,2,1,70,100,gianyar
dijual rumah minimalis perumahan sasih batubulan deket aspol sasih,750000000,"batubulan, gianyar",10,3,2,1,70,100,gianyar
v6.100 - rumah dijual di selatan ubud,600000000,"jl. raya ubud no 1, ubud, gianyar, bali ubud, gianyar",10,2,1,1,42,75,gianyar
rumah baru 2 lantai murah di sukawati,875000000,"jalan subak blaki sukawati, gianyar",8,3,2,2,115,125,gianyar
"rumah siap huni, 5 menit ke stadion dipta di blahbatuh, gianyar, bali",615000000,"lingkungan br. prangsada, blahbatuh, gianyar blahbatuh, gianyar",20,2,2,1,55,115,gianyar
rumah villa di ubud full furnish,3538000000,"ubud, gianyar",10,2,2,2,104,100,gianyar
"rumah dijual seperti villa siap huni view sawah di gianyar, bali",2500000000,"keramas, gianyar",4,3,2,1,145,150,gianyar
2 unit terakhir...rumah terlaris di bali,340000000,"jalan blahbatuh,gianyar, denpasar bali blahbatuh, gianyar",4,2,1,1,36,65,gianyar
rumah cluster terbesar di ubud,3800000000,"ubud, gianyar",8,2,3,2,104,100,gianyar
sale rumah cantik minimalis lingk perum guwang sukawati gianyar bali,445000000,"jalan raya guwang & jalan raya celuk-sukawati & jalan raya sukawati, gianyar 80582, indonesia guwang, gianyar",20,2,1,1,36,87,gianyar
rumah murah asri bersih di gianyar,575000000,"perumahan di perangsada blahbatuh blahbatuh, gianyar",10,2,2,1,115,115,gianyar
rumah sitaan murah batubulan,530000000,"batubulan, gianyar",4,2,1,1,100,104,gianyar
dijual rumah siap huni di celuk batubulan bali,560000000,"celuk, gianyar",10,3,1,1,50,80,gianyar
rumah asri jln pantai saba,650000000,"jln pantai saba saba, gianyar",20,3,2,1,100,150,gianyar
rumah ready batubulan celuk gianyar bali jual,590000000,"celuk, gianyar",4,3,1,1,50,75,gianyar
di jual rumah style bali tepi sawah batubulan,680000000,"jalan pasekan batubulan sukawati, gianyar",10,3,2,1,65,100,gianyar
