title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
rumah minimalis murah lokasi strategis karangasem,250000000.0,KARANGASEM,20.0,2.0,1.0,1.0,36.0,100.0
rumah minimalis murah lokasi strategis karangasem,250000000.0,"KARANG ASEM, KARANGASEM",20.0,2.0,1.0,1.0,36.0,100.0
rumah subsidi dekat kota karangasem bali,178000000.0,"KARANG ASEM, KARANGASEM",10.0,2.0,1.0,1.0,30.0,60.0
rumah semi finishing padang kerta karangasem,250000000.0,"PADANG KERTA, KARANGASEM",20.0,2.0,1.0,1.0,36.0,100.0
rumah classic murah jogja. ndalem hinggil mewah eksklusif,509000000.0,"KARANGASEM, INDONESIA KARANGASEM, KARANGASEM",10.0,3.0,2.0,1.0,48.0,72.0
rumah style villa plus pool di karangasem - bali,1950000000.0,"KARANG ASEM, KARANGASEM",20.0,2.0,2.0,1.0,300.0,350.0
dijual buc rumah 2 lantai di lingkungan komplek di bali karangasem,400000000.0,"PADANGKERTA, KARANGASEM",4.0,3.0,2.0,2.0,160.0,100.0
dijual cepat rumah murah minimalis daerah karangasem,250000000.0,"JL SERMA NATIH, PADANG KERTA, KARANGASEM PADANG KERTA, KARANGASEM",20.0,2.0,1.0,1.0,36.0,100.0
rumah 2 lantai di jual di olx bebas banjir bandung,515000000.0,"BAN, KARANGASEM",4.0,2.0,2.0,2.0,50.0,66.0
angsuran 2 jutaan rumah minimalis di padang kerta karangasem bali,250000000.0,"JL LETDA SERMA PADANG KERTA KARANGASEM BALI PADANG KERTA, KARANGASEM",20.0,2.0,1.0,1.0,27.0,100.0
jual cepat rumah murah di desa padang kerta karangasem bali,250000000.0,"KARANG ASEM, KARANGASEM",20.0,2.0,1.0,1.0,36.0,100.0
rumah cantik & murah hanya rp 450 juta taman nuansa tjampuhan bali,450000000.0,GIANYAR,20.0,2.0,1.0,1.0,36.0,100.0
rumah lantai 2 di batubulan harga termurah jalan mobil,700000000.0,"BATUBULAN, GIANYAR",8.0,4.0,2.0,2.0,120.0,100.0
